EventTime,EventName,Username,ResourceName,EventSource,ErrorCode
2023-10-11 06:46:43-05:00,DescribeInstances,sys6166944,N/A,ec2.amazonaws.com,N/A
2023-10-10 22:55:56-05:00,DescribeInstances,sys6166944,N/A,ec2.amazonaws.com,N/A
2023-10-10 11:18:15-05:00,DescribeInstances,sys6166944,N/A,ec2.amazonaws.com,N/A
2023-10-10 02:16:35-05:00,DescribeInstances,sys6166944,N/A,ec2.amazonaws.com,N/A
2023-10-09 14:47:35-05:00,DescribeInstances,sys6166944,N/A,ec2.amazonaws.com,N/A
2023-10-09 06:17:31-05:00,DescribeInstances,sys6166944,N/A,ec2.amazonaws.com,N/A
2023-10-08 21:51:38-05:00,PutRule,resource,N/A,events.amazonaws.com,N/A
2023-10-08 21:51:38-05:00,ListNotebookInstances,resource,N/A,sagemaker.amazonaws.com,N/A
2023-10-08 21:51:38-05:00,PutTargets,resource,N/A,events.amazonaws.com,N/A
2023-10-08 21:51:38-05:00,ListApps,resource,N/A,sagemaker.amazonaws.com,N/A
2023-10-08 21:51:37-05:00,AssumeRole,N/A,ASIAXAYLASOW6FB2EP5T,sts.amazonaws.com,N/A
2023-10-08 21:51:37-05:00,AssumeRole,N/A,ASIAXAYLASOW6FB2EP5T,sts.amazonaws.com,N/A
2023-10-08 21:51:37-05:00,DescribeInstances,resource,N/A,ec2.amazonaws.com,N/A
2023-10-08 21:51:30-05:00,AssumeRole,N/A,ASIAXAYLASOWQL7UDNPZ,sts.amazonaws.com,N/A
2023-10-08 21:51:30-05:00,AssumeRole,N/A,ASIAXAYLASOWQL7UDNPZ,sts.amazonaws.com,N/A
2023-10-08 21:51:29-05:00,AssumeRole,N/A,ASIAXAYLASOW2DCDI3QH,sts.amazonaws.com,N/A
2023-10-08 21:51:29-05:00,AssumeRole,N/A,ASIAXAYLASOW2DCDI3QH,sts.amazonaws.com,N/A
2023-10-08 21:51:29-05:00,DescribeInstances,sys6166944,N/A,ec2.amazonaws.com,N/A
2023-10-08 21:51:28-05:00,AttachRolePolicy,resource,arn:aws:iam::482670056365:policy/voc-cancel-cred,iam.amazonaws.com,N/A
2023-10-08 21:51:28-05:00,DetachRolePolicy,resource,arn:aws:iam::482670056365:policy/voc-cancel-cred,iam.amazonaws.com,N/A
2023-10-08 21:51:28-05:00,DescribeStacks,sys6166944,N/A,cloudformation.amazonaws.com,N/A
2023-10-08 21:51:28-05:00,DeletePolicy,resource,arn:aws:iam::482670056365:policy/voc-cancel-cred,iam.amazonaws.com,N/A
2023-10-08 21:51:28-05:00,CreatePolicy,resource,arn:aws:iam::482670056365:policy/voc-cancel-cred,iam.amazonaws.com,N/A
2023-10-08 21:51:28-05:00,DetachRolePolicy,resource,arn:aws:iam::482670056365:policy/voc-cancel-cred,iam.amazonaws.com,N/A
2023-10-08 21:51:28-05:00,DescribeKeyPairs,sys6166944,N/A,ec2.amazonaws.com,N/A
2023-10-08 21:51:28-05:00,AttachRolePolicy,resource,arn:aws:iam::482670056365:policy/voc-cancel-cred,iam.amazonaws.com,N/A
2023-10-08 21:51:27-05:00,AssumeRole,N/A,ASIAXAYLASOW25IXGO6E,sts.amazonaws.com,N/A
2023-10-08 21:51:27-05:00,GetRole,voclabs1696819886,N/A,iam.amazonaws.com,N/A
2023-10-08 21:51:27-05:00,GetPolicyVersion,voclabs1696819886,N/A,iam.amazonaws.com,N/A
2023-10-08 21:51:27-05:00,AssumeRole,N/A,ASIAXAYLASOWUQCWLQV5,sts.amazonaws.com,N/A
2023-10-08 21:51:27-05:00,GetPolicy,resource,N/A,iam.amazonaws.com,N/A
2023-10-08 21:51:27-05:00,AssumeRole,N/A,ASIAXAYLASOWYK4XCDQS,sts.amazonaws.com,N/A
2023-10-08 21:51:27-05:00,AssumeRole,N/A,ASIAXAYLASOWUQCWLQV5,sts.amazonaws.com,N/A
2023-10-08 21:51:27-05:00,AssumeRole,N/A,ASIAXAYLASOWYK4XCDQS,sts.amazonaws.com,N/A
2023-10-08 21:51:27-05:00,GetPolicyVersion,voclabs1696819886,N/A,iam.amazonaws.com,N/A
2023-10-08 21:51:27-05:00,DetachRolePolicy,resource,N/A,iam.amazonaws.com,N/A
2023-10-08 21:51:27-05:00,ListPolicies,voclabs1696819886,N/A,iam.amazonaws.com,N/A
2023-10-08 21:51:27-05:00,AssumeRole,N/A,ASIAXAYLASOW25IXGO6E,sts.amazonaws.com,N/A
2023-10-08 21:51:27-05:00,DeleteRolePolicy,voclabs1696819886,Pvoclabs,iam.amazonaws.com,N/A
2023-10-08 21:51:27-05:00,UpdateRole,voclabs1696819886,N/A,iam.amazonaws.com,N/A
2023-10-08 21:51:26-05:00,DescribeStacks,sys6166944,N/A,cloudformation.amazonaws.com,N/A
2023-10-08 21:51:26-05:00,AssumeRole,N/A,ASIAXAYLASOWSA6JVWCH,sts.amazonaws.com,N/A
2023-10-08 21:51:26-05:00,AssumeRole,N/A,ASIAXAYLASOWSA6JVWCH,sts.amazonaws.com,N/A
2023-10-08 21:51:25-05:00,DescribeKeyPairs,sys6166944,N/A,ec2.amazonaws.com,N/A
2023-10-08 21:51:25-05:00,DescribeInstances,sys6166944,N/A,ec2.amazonaws.com,N/A
2023-10-08 21:51:25-05:00,DescribeStacks,sys6166944,N/A,cloudformation.amazonaws.com,N/A
2023-10-08 21:51:24-05:00,DescribeStacks,sys6166944,N/A,cloudformation.amazonaws.com,N/A
2023-10-08 21:51:24-05:00,ListRules,sys6166944,N/A,events.amazonaws.com,N/A
2023-10-08 21:51:24-05:00,DescribeVpcs,sys6166944,N/A,ec2.amazonaws.com,N/A
2023-10-08 21:51:24-05:00,DescribeStacks,sys6166944,N/A,cloudformation.amazonaws.com,N/A
